PASS agent-handoff (compatibility, 3 cases)
PASS architecture-deepening-review (compatibility, 3 cases)
PASS audit-inspection-finding-response (compatibility, 3 cases)
PASS author-voice-profiler (compatibility, 3 cases)
PASS candidate-role-fit-assessment (compatibility, 3 cases)
PASS central-skill-repository-curation (compatibility, 3 cases)
PASS clinical-evidence-update-impact (compatibility, 3 cases)
PASS communication-memory-governance (compatibility, 3 cases)
PASS composable-skill-factory (compatibility, 3 cases)
PASS controlled-quality-documentation (compatibility, 3 cases)
PASS conversation-to-spec (compatibility, 3 cases)
PASS daily-and-weekly-review (compatibility, 3 cases)
PASS decision-and-follow-up-tracker (compatibility, 3 cases)
PASS decision-record (compatibility, 3 cases)
PASS deferred-external-action-verification (compatibility, 3 cases)
PASS design-change-regulatory-impact (compatibility, 3 cases)
PASS design-control-traceability (compatibility, 3 cases)
PASS disciplined-diagnosis (compatibility, 3 cases)
PASS domain-model-maintenance (compatibility, 3 cases)
PASS dr-komorowski-sport-docx-report-renderer (compatibility, 5 cases)
PASS dr-komorowski-sport-pdf-report-renderer (compatibility, 4 cases)
PASS dr-komorowski-sport-report-renderer (compatibility, 3 cases)
PASS engineering-delivery-followup (compatibility, 3 cases)
PASS eu-mdr-ivdr-regulatory-specialist (compatibility, 3 cases)
PASS eudamed-udi-ivd (compatibility, 3 cases)
PASS euroimmun-docx-report-renderer (compatibility, 4 cases)
PASS euroimmun-pdf-report-renderer (compatibility, 4 cases)
PASS evidence-based-causal-investigation (compatibility, 3 cases)
PASS exam-trainer-catalog-builder (compatibility, 3 cases)
PASS exam-trainer-result-import (compatibility, 3 cases)
PASS external-stakeholder-questionnaire (compatibility, 3 cases)
PASS fda-510k-predicate-strategy (compatibility, 3 cases)
PASS fda-510k-substantial-equivalence (compatibility, 3 cases)
PASS fda-acceptance-readiness (compatibility, 3 cases)
PASS fda-additional-information-response (compatibility, 3 cases)
PASS fda-complaint-mdr-reportability (compatibility, 5 cases)
PASS fda-corrections-removals (compatibility, 4 cases)
PASS fda-de-novo-special-controls (compatibility, 3 cases)
PASS fda-de-novo-strategy (compatibility, 3 cases)
